SKU,Title/Product Name,Variation,Supplier's Cost Price,Supplier's Shipping Fee,Quantity,Tags
07-23-24-13,Avene Hydrance UV Rich Hydrating Cream SPF30 40ml,40ml,20.0,2.45,20,escentual
ES-04-24-25-30,Benefit 24-Hr Brow Setter 7ml,7ml,26.0,2.45,11,escentual
01-14-25-36,Benefit BADgal BANG! Mascara 4g - Mini / Pitch Black,4g - Mini / Pitch Black,15.0,2.45,3,escentual
ES-04-25-25-07,Benefit BADgal BANG! Mascara 8.5g / Power Blue,8.5g / Power Blue,27.0,2.45,2,escentual
ES-04-24-25-36,Benefit Benetint - Rose-Tinted Lip & Cheek Stain,10ml,32.5,2.45,7,escentual
09-18-24-73,"Benefit Precisely, My Brow Pencil 0.04g - Mini / 2.5 - Neutral Blonde",0.04g - Mini / 2.5 - Neutral Blonde,14.5,2.45,4,escentual
01-14-25-37,Benefit The POREfessional Deep Retreat - Pore Clearing Clay Mask 30ml,30ml - Mini,9.9,2.45,20,escentual
01-14-25-43,Benefit The POREfessional Good Cleanup - Pore Purifying Foaming Cleanser 45ml,45ml - Mini,14.0,2.45,0,escentual
01-14-25-40,Benefit The POREfessional Tight ’n Toned - Pore Refining AHA + PHA Toning Foam 60ml,60ml - Mini,9.9,2.45,20,escentual
09-18-24-76,Bioderma Atoderm Intensive Baume - Ultra Soothing Balm 200ml,200ml,15.5,2.45,20,escentual
07-08-24-18,Bioderma Node DS+ Anti-Dandruff Intense Shampoo,125ml,13.0,2.45,20,escentual
01-28-25-27,Bioderma Photoderm Max Tinted Aquafluid SPF50+,40ml / Light,18.0,2.45,18,escentual
04-27-23-39,DIOR Sauvage Eau de Parfum Spray 60ml,60ml,85.0,1.0,20,escentual
01-08-25-25,Institut Esthederm Adaptasun Protective Face Care - Moderate Sun 50ml,50ml,51.0,1.0,7,escentual
07-23-24-06,Mustela Hydra Bebe Body Lotion,300ml,16.0,2.45,20,escentual
01-14-25-01,Mustela Hydra Bebe Facial Cream,40ml,8.5,2.45,20,escentual
07-23-24-02,Mustela Multi Sensory Bubble Bath,200ml,8.5,2.45,8,escentual
07-23-24-05,Mustela Very High Protection Sun Lotion SPF50+ 100ml,100ml,14.0,2.45,4,escentual
05-24-24-08,Pharmaceris H Stimulinum Hair Growth Stimulating Conditioner 150ml,150ml,12.75,2.45,20,escentual
01-07-25-26,Pharmaceris H Stimupurin Specialist Hair Growth Stimulating Shampoo 250ml,250ml,11.25,2.45,20,escentual
05-24-24-09,Pharmaceris N Vita-Capilaril Moisturising & Strengthening Face Cream SPF20 50ml,50ml,13.5,2.45,20,escentual
05-24-24-10,Pharmaceris P Psoritar Intensive Multifunctional Cream 50ml,50ml,15.0,2.45,20,escentual
01-10-25-14,Pharmaceris R Puri-Rosalgin Soothing Physiological Face Gel Wash 190ml,190ml,14.5,2.45,20,escentual
05-24-24-11,Pharmaceris T Puri-Sebogel Deep Cleansing Face Gel 190ml,190ml,12.0,2.45,20,escentual
-,The Ordinary Glycolic Acid 7% Exfoliating Toner,100ml,7.7,2.45,20,escentual
